OA Code,Ward Name,LA Name,Region Name,QS112EW0002,QS112EW0001 (base),OA Percentage
E00115986,Hardway,Gosport,South East,37,311,11.9000,
E00116059,Privett,Gosport,South East,28,301,9.3000,
E00116089,Town,Gosport,South East,32,284,11.2700,
E00115965,Grange,Gosport,South East,10,311,3.2200,
E00116072,Rowner and Holbrook,Gosport,South East,41,350,11.7100,
E00116016,Leesland,Gosport,South East,49,319,15.3600,
E00116027,Leesland,Gosport,South East,45,331,13.6000,
E00115851,Alverstoke,Gosport,South East,54,221,24.4300,
E00115919,Christchurch,Gosport,South East,76,251,30.2800,
E00116029,Leesland,Gosport,South East,43,294,14.6300,
E00115917,Christchurch,Gosport,South East,43,300,14.3300,
E00116050,Privett,Gosport,South East,20,375,5.3300,
E00116077,Town,Gosport,South East,83,304,27.3000,
E00115912,Brockhurst,Gosport,South East,35,236,14.8300,
E00116079,Town,Gosport,South East,48,214,22.4300,
E00116055,Privett,Gosport,South East,40,313,12.7800,
E00116026,Leesland,Gosport,South East,35,308,11.3600,
E00115885,Bridgemary South,Gosport,South East,29,304,9.5400,
E00115926,Christchurch,Gosport,South East,81,338,23.9600,
E00115854,Alverstoke,Gosport,South East,25,294,8.5000,
E00115925,Christchurch,Gosport,South East,26,382,6.8100,
E00116086,Town,Gosport,South East,39,234,16.6700,
E00168128,Hardway,Gosport,South East,42,277,15.1600,
E00115853,Alverstoke,Gosport,South East,60,224,26.7900,
E00115850,Alverstoke,Gosport,South East,43,227,18.9400,
E00168124,Town,Gosport,South East,62,214,28.9700,
E00115899,Brockhurst,Gosport,South East,46,232,19.8300,
E00115950,Forton,Gosport,South East,29,280,10.3600,
E00115938,Elson,Gosport,South East,25,322,7.7600,
E00115935,Elson,Gosport,South East,30,307,9.7700,
E00116051,Privett,Gosport,South East,31,293,10.5800,
E00115930,Elson,Gosport,South East,27,300,9.0000,
E00116064,Rowner and Holbrook,Gosport,South East,70,254,27.5600,
E00115955,Forton,Gosport,South East,49,242,20.2500,
E00115951,Forton,Gosport,South East,27,309,8.7400,
E00115859,Anglesey,Gosport,South East,21,252,8.3300,
E00115954,Forton,Gosport,South East,25,475,5.2600,
E00116037,Peel Common,Gosport,South East,50,238,21.0100,
E00115881,Bridgemary North,Gosport,South East,53,216,24.5400,
E00115927,Christchurch,Gosport,South East,37,311,11.9000,
E00115845,Alverstoke,Gosport,South East,28,309,9.0600,
E00115860,Anglesey,Gosport,South East,56,250,22.4000,
E00168151,Grange,Gosport,South East,15,491,3.0500,
E00115948,Forton,Gosport,South East,28,325,8.6200,
E00116081,Town,Gosport,South East,75,184,40.7600,
E00115941,Elson,Gosport,South East,50,213,23.4700,
E00115922,Christchurch,Gosport,South East,44,298,14.7700,
E00116087,Town,Gosport,South East,31,340,9.1200,
E00116076,Town,Gosport,South East,106,254,41.7300,
E00115883,Bridgemary South,Gosport,South East,55,263,20.9100,
E00116017,Leesland,Gosport,South East,35,235,14.8900,
E00115898,Brockhurst,Gosport,South East,0,309,0.0000,
E00115840,Alverstoke,Gosport,South East,19,330,5.7600,
E00116083,Town,Gosport,South East,42,333,12.6100,
E00116082,Town,Gosport,South East,46,321,14.3300,
